ENERGY, 1201.289673 joules, 1496058309 ms, plat
ENERGY, 1201.289673 joules, 1496058309 ms, plat.node0
ENERGY, 1207.724213 joules, 1496058410 ms, plat
ENERGY, 1207.724213 joules, 1496058410 ms, plat.node0
ENERGY, 1214.121429 joules, 1496058510 ms, plat
ENERGY, 1214.121429 joules, 1496058510 ms, plat.node0
ENERGY, 1220.426300 joules, 1496058610 ms, plat
ENERGY, 1220.426300 joules, 1496058610 ms, plat.node0
ENERGY, 1226.797760 joules, 1496058710 ms, plat
ENERGY, 1226.797760 joules, 1496058710 ms, plat.node0
ENERGY, 1233.177063 joules, 1496058811 ms, plat
ENERGY, 1233.177063 joules, 1496058811 ms, plat.node0
ENERGY, 1239.559265 joules, 1496058911 ms, plat
ENERGY, 1239.559265 joules, 1496058911 ms, plat.node0
ENERGY, 1245.948669 joules, 1496059011 ms, plat
ENERGY, 1245.948669 joules, 1496059011 ms, plat.node0
ENERGY, 1252.327362 joules, 1496059111 ms, plat
ENERGY, 1252.327362 joules, 1496059111 ms, plat.node0
ENERGY, 1258.722015 joules, 1496059211 ms, plat
ENERGY, 1258.722015 joules, 1496059211 ms, plat.node0
ENERGY, 1265.122437 joules, 1496059311 ms, plat
ENERGY, 1265.122437 joules, 1496059312 ms, plat.node0
ENERGY, 1271.501770 joules, 1496059412 ms, plat
ENERGY, 1271.501770 joules, 1496059412 ms, plat.node0
ENERGY, 1277.899384 joules, 1496059512 ms, plat
ENERGY, 1277.899384 joules, 1496059512 ms, plat.node0
ENERGY, 1284.351044 joules, 1496059613 ms, plat
ENERGY, 1284.351044 joules, 1496059613 ms, plat.node0
ENERGY, 1290.679504 joules, 1496059713 ms, plat
ENERGY, 1290.679504 joules, 1496059713 ms, plat.node0
ENERGY, 1297.065186 joules, 1496059813 ms, plat
ENERGY, 1297.065186 joules, 1496059813 ms, plat.node0
ENERGY, 1303.459717 joules, 1496059914 ms, plat
ENERGY, 1303.459717 joules, 1496059914 ms, plat.node0
ENERGY, 1309.836456 joules, 1496060014 ms, plat
ENERGY, 1309.836456 joules, 1496060014 ms, plat.node0
ENERGY, 1316.214874 joules, 1496060114 ms, plat
ENERGY, 1316.214874 joules, 1496060114 ms, plat.node0
ENERGY, 1322.593018 joules, 1496060214 ms, plat
ENERGY, 1322.593018 joules, 1496060214 ms, plat.node0
ENERGY, 1328.920288 joules, 1496060314 ms, plat
ENERGY, 1328.920288 joules, 1496060314 ms, plat.node0
ENERGY, 1335.277649 joules, 1496060414 ms, plat
ENERGY, 1335.277649 joules, 1496060414 ms, plat.node0
ENERGY, 1341.663544 joules, 1496060514 ms, plat
ENERGY, 1341.663544 joules, 1496060514 ms, plat.node0
ENERGY, 1348.033630 joules, 1496060614 ms, plat
ENERGY, 1348.033630 joules, 1496060614 ms, plat.node0
ENERGY, 1354.406982 joules, 1496060714 ms, plat
ENERGY, 1354.406982 joules, 1496060714 ms, plat.node0
ENERGY, 1360.782349 joules, 1496060814 ms, plat
ENERGY, 1360.782349 joules, 1496060814 ms, plat.node0
ENERGY, 1367.107941 joules, 1496060914 ms, plat
ENERGY, 1367.107941 joules, 1496060914 ms, plat.node0
ENERGY, 1373.501495 joules, 1496061015 ms, plat
ENERGY, 1373.501495 joules, 1496061015 ms, plat.node0
ENERGY, 1379.944366 joules, 1496061116 ms, plat
ENERGY, 1379.944366 joules, 1496061116 ms, plat.node0
ENERGY, 1386.296295 joules, 1496061216 ms, plat
ENERGY, 1386.296295 joules, 1496061216 ms, plat.node0
ENERGY, 1392.627411 joules, 1496061316 ms, plat
ENERGY, 1392.627411 joules, 1496061316 ms, plat.node0
ENERGY, 1399.004517 joules, 1496061416 ms, plat
ENERGY, 1399.004517 joules, 1496061416 ms, plat.node0
ENERGY, 1405.372009 joules, 1496061516 ms, plat
ENERGY, 1405.372009 joules, 1496061516 ms, plat.node0
ENERGY, 1411.667664 joules, 1496061616 ms, plat
ENERGY, 1411.667664 joules, 1496061616 ms, plat.node0
ENERGY, 1418.038727 joules, 1496061716 ms, plat
ENERGY, 1418.038727 joules, 1496061716 ms, plat.node0
ENERGY, 1424.396179 joules, 1496061816 ms, plat
ENERGY, 1424.396179 joules, 1496061816 ms, plat.node0
ENERGY, 1430.827026 joules, 1496061918 ms, plat
ENERGY, 1430.827026 joules, 1496061918 ms, plat.node0
ENERGY, 1437.177643 joules, 1496062018 ms, plat
ENERGY, 1437.177643 joules, 1496062018 ms, plat.node0
ENERGY, 1443.553467 joules, 1496062118 ms, plat
ENERGY, 1443.553467 joules, 1496062118 ms, plat.node0
ENERGY, 1449.859253 joules, 1496062218 ms, plat
ENERGY, 1449.859253 joules, 1496062218 ms, plat.node0
ENERGY, 1456.245087 joules, 1496062318 ms, plat
ENERGY, 1456.245087 joules, 1496062318 ms, plat.node0
ENERGY, 1462.625702 joules, 1496062418 ms, plat
ENERGY, 1462.625702 joules, 1496062418 ms, plat.node0
ENERGY, 1469.011597 joules, 1496062518 ms, plat
ENERGY, 1469.011597 joules, 1496062518 ms, plat.node0
ENERGY, 1475.398956 joules, 1496062618 ms, plat
ENERGY, 1475.398956 joules, 1496062618 ms, plat.node0
ENERGY, 1481.805511 joules, 1496062718 ms, plat
